Stud Qu1 Qu2 Qu3 Qu4 Qu5
1235 052 032 035 022 012
2334 090 036 090 077 030
5432 100 045 020 090 070
3725 011 017 081 032 077
2854 020 012 045 078 034
8284 034 080 055 078 045
4845 060 100 056 078 078
3784 070 010 066 078 056
5858 034 009 077 078 020
9657 045 040 088 078 055
3457 055 050 099 078 080
3884 022 070 100 078 077
4565 089 050 091 078 060
3457 011 011 000 078 010
3835 000 098 089 078 020
1748 034 098 089 078 020
9445 023 098 034 044 020
9456 004 098 089 027 020
9654 037 092 084 032 020
3950 004 038 029 073 100
1111 052 032 035 022 012
2222 090 036 090 077 030
3333 100 045 020 090 070
4444 011 017 081 032 077
5555 020 012 045 078 034
6666 034 080 055 078 045
7777 060 100 056 078 078
8888 070 010 066 078 056
9999 034 009 077 078 020
0000 045 040 088 078 055
1234 055 050 099 078 080
2345 022 070 100 078 077
3456 089 050 091 078 060
4567 011 011 000 078 010
5678 000 098 089 078 020
6789 034 098 089 078 020
7890 023 098 034 044 020
1357 004 098 089 027 020
2468 037 092 084 032 020
3579 004 038 029 073 100
